date,equity,cash,positions,blocked_exits
2026-03-19,188350.527807749,430.5278077489929,1,0
2026-03-20,180361.542026937,369.5420269370079,1,0
2026-03-23,164657.542026937,369.5420269370079,1,0
2026-03-24,173538.181883521,274.1818835209997,1,0
2026-03-25,177351.022218201,251.0222182009893,1,0
2026-03-26,170500.198446201,66.19844620098593,1,0
2026-03-27,173916.297997493,6.297997493005823,1,0
2026-03-30,175156.297997493,6.297997493005823,1,0
2026-03-31,172056.297997493,6.297997493005823,1,0
2026-04-01,170582.96772381302,412.96772381302435,1,0
2026-04-02,168866.96772381302,412.96772381302435,1,0
2026-04-03,157833.140077841,216.1400778410025,1,0
2026-04-07,158264.09935085304,98.09935085303732,1,0
2026-04-08,161995.55573826504,193.55573826504406,1,0
2026-04-09,157147.55573826504,193.55573826504406,1,0
2026-04-10,157753.55573826504,193.55573826504406,1,0
2026-04-13,154723.55573826504,193.55573826504406,1,0
2026-04-14,149269.55573826504,193.55573826504406,1,0
2026-04-15,148597.54880736105,629.5488073610468,1,0
2026-04-16,151925.54880736105,629.5488073610468,1,0
2026-04-17,148707.22804890107,13.228048901073635,1,0
2026-04-20,150024.56021319906,164.56021319905994,1,0
2026-04-21,147357.56021319906,164.56021319905994,1,0
2026-04-22,146113.7085373711,225.70853737110156,1,0
2026-04-23,141970.0436407311,610.0436407311063,1,0
2026-04-24,145471.27966194713,53.27966194713372,1,0
2026-04-27,152161.47774681915,393.477746819146,1,0
2026-04-28,150071.76275458117,131.76275458117016,1,0
2026-04-29,152546.16528497118,394.1652849711827,1,0
2026-04-30,154745.5544916752,16.554491675196914,1,0
2026-05-06,165727.07858356717,55.078583567170426,1,0
2026-05-07,168535.07858356717,55.078583567170426,1,0
2026-05-08,172559.99060597317,1010.9906059731729,1,0
2026-05-11,171339.90196977518,366.90196977517917,1,0
2026-05-12,172246.53942308316,202.5394230831589,1,0
2026-05-13,167290.53942308316,202.5394230831589,1,0
2026-05-14,166784.80228184318,50.80228184317821,1,0
2026-05-15,175008.38750515322,976.3875051532232,1,0
2026-05-18,169765.46999804527,62.469998045271495,1,0
2026-05-19,165912.5219924493,104.52199244929943,1,0
2026-05-20,163020.5219924493,104.52199244929943,1,0
2026-05-21,164727.63001369726,855.6300136972568,1,0
2026-05-22,169428.24550926324,287.24550926324446,1,0
2026-05-25,164829.24550926324,287.24550926324446,1,0
2026-05-26,160230.24550926324,287.24550926324446,1,0
2026-05-27,155631.24550926324,287.24550926324446,1,0
2026-05-28,157675.24550926324,287.24550926324446,1,0
2026-05-29,153076.24550926324,287.24550926324446,1,0
2026-06-01,152717.48831315327,497.4883131532697,1,0
2026-06-02,148105.8755406933,180.87554069329053,1,0
2026-06-03,143740.8755406933,180.87554069329053,1,0
2026-06-04,149388.3582899653,1150.358289965312,1,0
2026-06-05,153504.0142949333,516.0142949332949,1,0
2026-06-08,144924.0142949333,516.0142949332949,1,0
2026-06-09,147300.0142949333,516.0142949332949,1,0
2026-06-10,142020.0142949333,516.0142949332949,1,0
2026-06-11,138984.0142949333,516.0142949332949,1,0
2026-06-12,142812.3090123993,434.3090123992879,1,0
2026-06-15,138968.9452979993,224.9452979993075,1,0
2026-06-16,144044.9452979993,224.9452979993075,1,0
2026-06-17,142775.9452979993,224.9452979993075,1,0
2026-06-18,141606.31704196733,402.3170419673261,1,0
2026-06-22,141606.31704196733,402.3170419673261,1,0
2026-06-23,143359.13108951933,559.131089519331,1,0
2026-06-24,140958.12479733533,300.1247973353311,1,0
2026-06-25,135642.73692839534,241.73692839534488,1,0
2026-06-26,131840.55758049336,340.55758049336146,1,0
2026-06-29,130690.32459325733,490.3245932573336,1,0
2026-06-30,126521.56245578534,57.5624557853298,1,0
2026-07-01,139007.17629035935,686.1762903593335,1,0
2026-07-02,141677.59901050734,141677.59901050734,0,0
