factor,ic_mean,icir,ic_pos_years,years,max_abs_rho_vs_old
afx_fi_ocf_to_netdebt,0.0012400680317814494,0.2848218526660707,4.0,8.0,0.44734359731803736
afx_bs_fixed_assets_disp,0.0012302239947299762,0.19353134535717753,5.0,8.0,0.5751692593830541
afx_is_forex_gain,0.0012109011351737532,0.3132823837299072,5.0,8.0,0.4395501246663557
afx_cf_c_cash_equ_beg_period,0.0012076798254248393,0.21816064729839843,5.0,8.0,0.2190195775651134
afx_fi_fcfe_ps,0.0011839588070872526,0.12012134755385791,5.0,8.0,0.14184110775893893
afx_fi_roic,-0.0011650831475354304,-0.14723167759922146,4.0,8.0,0.0968593472361061
afx_fi_ocf_to_debt,0.0011469605268025205,0.24049349397022976,5.0,8.0,0.4215226002752711
afx_fi_ar_turn,0.0011454691387153978,0.22708743803917814,4.0,8.0,0.2563565150307645
afx_fi_dp_assets_to_eqt,0.0011279776856225414,0.2580037454759683,5.0,8.0,0.3596565970012356
afx_fi_cash_to_liqdebt_withinterest,0.001120790037059148,0.3954667755792207,5.0,8.0,0.618481383846186
afx_fi_roic_yearly,-0.0011186016936266343,-0.14274263348725263,4.0,8.0,0.13006414148689424
afx_fi_q_salescash_to_or,0.001109187889530347,0.47894312539483885,5.0,8.0,0.203286406118202
afx_bs_const_materials,-0.0010977763030678325,-0.11853468210364186,2.0,8.0,0.24432576425866662
afx_fi_grossprofit_margin,0.001095308940677605,0.23151995738119094,5.0,8.0,0.7819210520496312
afx_fi_cfps,0.0010911516988649753,0.1875443600279435,5.0,8.0,0.36847650238376256
qf_noncore_roe_gap,0.001086078346537755,0.13906587148329938,5.0,8.0,0.4350220659528011
afx_fi_nop_to_ebt,-0.0010813444052715148,-0.2897763843473812,3.0,8.0,0.6772877340192355
afx_fi_n_op_profit_of_ebt,-0.0010783235337331865,-0.2886823013259621,3.0,8.0,0.15529037333829304
afx_fi_roe_waa,-0.0010649248378781203,-0.1299737857236762,4.0,8.0,0.35109804268677497
afx_fi_cogs_of_sales,-0.001053732011759127,-0.2180263265193034,3.0,8.0,0.40926798143280996
mfx_minute_volume_concentration,-0.0010362494225138823,-0.058218914706986,4.0,8.0,0.24524560972561496
afx_bs_specific_payables,0.0010159835302780361,0.1618281058712272,6.0,8.0,0.47718679623101434
afx_fi_profit_to_op,-0.000985817921881226,-0.13680306041970536,5.0,8.0,0.9213297777403525
afx_fi_dt_eps,-0.0009171807978396495,-0.05260942463239613,4.0,8.0,0.7460532408250113
afx_fi_op_of_gr,-0.0008814282406396981,-0.12215412403319488,5.0,8.0,0.3379249989212267
afx_fi_cash_to_liqdebt,0.0008776627046211689,0.22615673479764536,4.0,8.0,0.5146080810911541
afx_fi_profit_to_gr,-0.000872233979152962,-0.11634038881235194,5.0,8.0,0.6957343003372017
afx_fi_profit_prefin_exp,-0.0008611991640480026,-0.04810877982067475,4.0,8.0,0.2733521320555973
afx_bs_cap_rese,-0.0008576104790574165,-0.07000224694812361,3.0,8.0,0.2966365503088145
afx_cf_net_profit,0.0008381126693780727,0.07079239041846301,4.0,8.0,0.18756840828680255
afx_fi_op_income,0.000821528904611569,0.04557167897806382,4.0,8.0,0.5852479918287568
afx_fi_netprofit_margin,-0.000809326015117016,-0.10893035479305058,5.0,8.0,0.34787401684988223
afx_fi_roe_dt,0.0007758525951241061,0.07945531367179055,4.0,8.0,0.19373128930710612
afx_fi_gross_margin,-0.0007061963477085062,-0.04948815817121229,3.0,8.0,0.4058620175731097
afx_cf_n_recp_disp_fiolta,0.0006633380513184164,0.19826762437338288,4.0,8.0,0.1562032155615927
afx_fi_op_to_ebt,0.0006497728929560102,0.1661065044109515,5.0,8.0,0.24102336883940342
afx_fi_ebit,-0.0006020371577105336,-0.03409938329100066,4.0,8.0,0.4087579625077168
afx_cf_loss_fv_chg,0.0005981951762535479,0.25355597095439825,5.0,8.0,0.2527184934365844
afx_fi_invturn_days,0.000578613677995663,0.0941128098879413,4.0,8.0,0.455868155906378
afx_fi_q_exp_to_sales,-0.0005715648570058718,-0.1228437277168145,2.0,8.0,0.1894166848763783
efx_lu_move,-0.0005614927232915189,-0.08312615236477251,5.0,8.0,0.19156637702392437
afx_fi_longdebt_to_workingcapital,-0.0005464124891410261,-0.14021295548537638,4.0,8.0,0.22499938823779736
afx_fi_roe_yearly,-0.0005369456690814636,-0.0643595253987218,4.0,8.0,0.36610036851424405
afx_fi_roe,-0.0005369456690814636,-0.0643595253987218,4.0,8.0,0.42204697428508936
afx_fi_eps,-0.0005140942422068827,-0.02842239773167826,4.0,8.0,0.36058399658757534
efx_dividend_gap,0.0004984999109772319,0.09606078439422559,6.0,8.0,0.5484593240597451
afx_fi_impai_ttm,0.0004922674454322074,0.0927664036928671,3.0,8.0,0.18648304287892403
afx_cf_loss_scr_fa,0.0004818111166766544,0.0829712097065098,4.0,8.0,0.08713724739400806
afx_cf_loss_disp_fiolta,-0.0004581569597038941,-0.0701791091524819,3.0,8.0,0.1690348363061294
afx_cf_end_bal_cash,0.00042180180146627884,0.14389299715373147,5.0,8.0,0.32926792356457174
afx_fi_total_fa_trun,-0.0004136186000868738,-0.07226659164022625,4.0,8.0,0.30392208038876134
afx_fi_valuechange_income,0.0004079173240257722,0.05506904059685257,5.0,8.0,0.1759266968143214
afx_is_ebitda,0.00040321998692368494,0.030130322805336528,4.0,8.0,0.2893543130979444
afx_fi_q_dtprofit,0.0003986921989656972,0.025040961960923487,4.0,8.0,0.1854202726120648
afx_fi_capitalized_to_da,0.00038572248953668454,0.13350435852953657,5.0,8.0,0.43485303505197376
afx_fi_investincome_of_ebt,0.000371443923968727,0.08822088365337233,5.0,8.0,0.08171873673449105
afx_fi_tangibleasset_to_netdebt,0.0003700401593524544,0.09934052023233293,4.0,8.0,0.2546287482601941
afx_fi_networking_capital,0.0003405668368193804,0.03683956142244818,2.0,8.0,0.2233389267743271
afx_fi_extra_item,0.00028451629945710404,0.06128061110083348,4.0,8.0,0.5189534509873736
afx_cf_beg_bal_cash,0.0002681699422683716,0.04970563681509362,3.0,8.0,0.1856774431684333
afx_bs_estimated_liab,-0.00025041782540113065,-0.05054954370060964,3.0,8.0,0.4805864282024747
afx_fi_eqt_to_talcapital,0.0002415211131637791,0.04921076687960343,4.0,8.0,0.29703462525726393
afx_fi_q_investincome_to_ebt,-0.00021847689364343069,-0.09343949847883827,4.0,8.0,0.47272222926159996
afx_fi_gc_of_gr,0.0002149699065605047,0.027170096496080647,4.0,8.0,0.339308796511178
afx_fi_opincome_of_ebt,-0.00019227374365348988,-0.03563817303937661,4.0,8.0,0.4612238387169506
afx_fi_q_dtprofit_to_profit,0.00017195017809142803,0.03537912198796795,4.0,8.0,0.18811654662196803
afx_fi_ebitda,0.0001514687624696318,0.008094005578789625,4.0,8.0,0.39983885709381894
afx_fi_fa_turn,-0.0001448491437903207,-0.024537306072549225,5.0,8.0,0.13040676326360542
afx_fi_roe_avg,0.00013632066879468835,0.014611466548934311,4.0,8.0,0.4652526670026999
afx_bs_lt_payroll_payable,-0.0001357375758799307,-0.014531466152797481,5.0,8.0,0.3609729023881015
afx_fi_diluted2_eps,-0.00013381335930321304,-0.00736985519232157,4.0,8.0,0.2299175338212224
afx_fi_q_investincome,8.882871273256502e-05,0.015324700800678777,5.0,8.0,0.3693193588669819
afx_fi_q_adminexp_to_gr,-8.500762212464879e-05,-0.017690497458993794,5.0,8.0,0.19027119697967956
afx_fi_q_impair_to_gr_ttm,8.284766541598375e-05,0.018631147514650098,4.0,8.0,0.44706035070433203
afx_bs_int_receiv,7.672353981721101e-05,0.017514645312272606,4.0,8.0,0.5011154354000872
afx_fi_q_opincome,-3.9227650788949825e-05,-0.0025314594035056523,4.0,8.0,0.3958518010478406
afx_fi_noncurrent_exint,-3.788835190279231e-05,-0.007627029177450024,4.0,8.0,0.26103796746270386
