# 冻结股票池（factor engineering · universe）★ 一经冻结不要修改
# generated_at=2026-09-18 23:13:31
# 口径：主板 ∩ 至今存续 ∩ 从未ST(2016-08-09起) ∩ 上市日≤2018-01-01
# 只数=2115
#
# ⚠️ 代价（用户 2026-09-18 确认接受）：
#   1) 要求『至今存续』→ 引入幸存者偏差（回测收益会被系统性高估）；
#   2) 『从未ST』是事后判据（2019 年 ST 过的票，其 2012–2018 数据也一并剔除）；
#   3) ST 判据 = stock_st_info（type='ST'，官方口径）；
#      ⚠️ 其覆盖只到 2016-08-09 ⇒ 完整含义是『2016-08-09 以来从未 ST』。
#      ⚠️ 不可改用 stock_daily 的 stock_name —— 厂商已把历史名称改成当前名。
#
# ★ 内容哈希会进 fea/engine.py 的 universe_fp：改它 = 触发全部因子全量重建。
#   重新生成：python scripts/build_frozen_universe.py --force
#
# stock_code	list_date	delist_date
002212.SZ	2008-02-01	
002213.SZ	2008-02-01	
002215.SZ	2008-02-18	
002216.SZ	2008-02-20	
002218.SZ	2008-02-28	
002221.SZ	2008-03-06	
002222.SZ	2008-03-19	
002223.SZ	2008-04-18	
002224.SZ	2008-04-25	
002225.SZ	2008-04-25	
002226.SZ	2008-05-06	
002228.SZ	2008-05-08	
002229.SZ	2008-05-08	
002230.SZ	2008-05-12	
002232.SZ	2008-05-09	
002233.SZ	2008-05-16	
002234.SZ	2008-05-16	
002235.SZ	2008-05-16	
002236.SZ	2008-05-20	
002237.SZ	2008-05-20	
002238.SZ	2008-05-26	
002239.SZ	2008-05-22	
002240.SZ	2008-05-23	
002241.SZ	2008-05-22	
002242.SZ	2008-05-28	
002243.SZ	2008-05-28	
002244.SZ	2008-05-29	
002245.SZ	2008-06-05	
002246.SZ	2008-06-05	
002249.SZ	2008-06-19	
002250.SZ	2008-06-19	
002252.SZ	2008-06-23	
002254.SZ	2008-06-25	
002258.SZ	2008-07-08	
002261.SZ	2008-07-23	
002262.SZ	2008-07-23	
002264.SZ	2008-07-31	
002265.SZ	2008-08-06	
002266.SZ	2008-08-06	
002267.SZ	2008-08-13	
002268.SZ	2008-08-11	
002269.SZ	2008-08-28	
002270.SZ	2008-09-05	
002271.SZ	2008-09-10	
002272.SZ	2008-09-19	
002273.SZ	2008-09-19	
002274.SZ	2008-09-25	
002275.SZ	2009-07-10	
002276.SZ	2009-07-10	
002277.SZ	2009-07-17	
002278.SZ	2009-08-11	
002279.SZ	2009-08-11	
002281.SZ	2009-08-21	
002282.SZ	2009-08-21	
002283.SZ	2009-08-21	
002284.SZ	2009-08-28	
002285.SZ	2009-08-28	
002286.SZ	2009-08-28	
002287.SZ	2009-08-28	
002291.SZ	2009-09-03	
002292.SZ	2009-09-10	
002293.SZ	2009-09-10	
002294.SZ	2009-09-10	
002295.SZ	2009-09-29	
002296.SZ	2009-09-29	
002297.SZ	2009-09-29	
002298.SZ	2009-09-29	
002299.SZ	2009-10-21	
002300.SZ	2009-10-21	
002301.SZ	2009-10-21	
002302.SZ	2009-11-03	
002303.SZ	2009-11-03	
002304.SZ	2009-11-06	
002307.SZ	2009-11-11	
002311.SZ	2009-11-27	
002314.SZ	2009-12-03	
002315.SZ	2009-12-09	
002317.SZ	2009-12-11	
002318.SZ	2009-12-11	
002320.SZ	2009-12-16	
002322.SZ	2009-12-18	
002324.SZ	2009-12-18	
002326.SZ	2009-12-22	
002327.SZ	2009-12-30	
002328.SZ	2009-12-30	
002329.SZ	2010-01-06	
002330.SZ	2010-01-06	
002331.SZ	2010-01-06	
002332.SZ	2010-01-12	
002334.SZ	2010-01-13	
002335.SZ	2010-01-13	
002337.SZ	2010-01-15	
002338.SZ	2010-01-15	
002339.SZ	2010-01-22	
002340.SZ	2010-01-22	
002342.SZ	2010-01-26	
002343.SZ	2010-01-26	
002344.SZ	2010-01-26	
002345.SZ	2010-01-28	
002346.SZ	2010-01-28	
002347.SZ	2010-01-28	
002348.SZ	2010-02-03	
002349.SZ	2010-02-03	
002350.SZ	2010-02-03	
002351.SZ	2010-02-05	
002352.SZ	2010-02-05	
002353.SZ	2010-02-05	
002355.SZ	2010-02-09	
002357.SZ	2010-02-10	
002361.SZ	2010-03-03	
002362.SZ	2010-03-03	
002363.SZ	2010-03-05	
002364.SZ	2010-03-05	
002365.SZ	2010-03-05	
002367.SZ	2010-03-12	
002368.SZ	2010-03-12	
002369.SZ	2010-03-16	
002370.SZ	2010-03-16	
002371.SZ	2010-03-16	
002372.SZ	2010-03-18	
002373.SZ	2010-03-18	
002374.SZ	2010-03-18	
002375.SZ	2010-03-23	
002376.SZ	2010-03-23	
002377.SZ	2010-03-23	
002378.SZ	2010-03-31	
002380.SZ	2010-03-31	
002381.SZ	2010-04-02	
002382.SZ	2010-04-02	
002383.SZ	2010-04-02	
002384.SZ	2010-04-09	
002385.SZ	2010-04-09	
002386.SZ	2010-04-09	
002387.SZ	2010-04-13	
002389.SZ	2010-04-13	
002390.SZ	2010-04-16	
002391.SZ	2010-04-16	
002392.SZ	2010-04-23	
002393.SZ	2010-04-23	
002394.SZ	2010-04-23	
002395.SZ	2010-04-29	
002396.SZ	2010-06-23	
002397.SZ	2010-04-29	
002398.SZ	2010-05-06	
002399.SZ	2010-05-06	
002400.SZ	2010-05-06	
002401.SZ	2010-05-06	
002402.SZ	2010-05-11	
002403.SZ	2010-05-11	
002404.SZ	2010-05-11	
002405.SZ	2010-05-18	
002406.SZ	2010-05-18	
002407.SZ	2010-05-18	
002408.SZ	2010-05-18	
002409.SZ	2010-05-25	
002410.SZ	2010-05-25	
002412.SZ	2010-05-25	
002413.SZ	2010-05-28	
002414.SZ	2010-07-16	
002415.SZ	2010-05-28	
002416.SZ	2010-05-28	
002419.SZ	2010-06-01	
002421.SZ	2010-06-03	
002422.SZ	2010-06-03	
002428.SZ	2010-06-08	
002429.SZ	2010-06-10	
002430.SZ	2010-06-10	
002432.SZ	2010-06-10	
002434.SZ	2010-06-18	
002436.SZ	2010-06-18	
002437.SZ	2010-06-23	
002438.SZ	2010-06-23	
002439.SZ	2010-06-23	
002440.SZ	2010-07-06	
002441.SZ	2010-07-06	
002442.SZ	2010-07-06	
002443.SZ	2010-07-06	
002444.SZ	2010-07-13	
002446.SZ	2010-07-13	
002448.SZ	2010-07-16	
002449.SZ	2010-07-16	
002451.SZ	2010-07-20	
002452.SZ	2010-07-20	
002453.SZ	2010-07-20	
002454.SZ	2010-07-20	
002455.SZ	2010-08-03	
002456.SZ	2010-08-03	
002457.SZ	2010-08-03	
002458.SZ	2010-08-10	
002459.SZ	2010-08-10	
002460.SZ	2010-08-10	
002461.SZ	2010-08-18	
002462.SZ	2010-08-18	
002463.SZ	2010-08-18	
002465.SZ	2010-08-31	
002466.SZ	2010-08-31	
002467.SZ	2010-09-08	
002468.SZ	2010-09-08	
002469.SZ	2010-09-08	
002471.SZ	2010-09-10	
002472.SZ	2010-09-10	
002474.SZ	2010-09-15	
002475.SZ	2010-09-15	
002476.SZ	2010-09-15	
002478.SZ	2010-09-21	
002479.SZ	2010-09-21	
002480.SZ	2010-09-21	
002481.SZ	2010-09-21	
002483.SZ	2010-09-29	
002484.SZ	2010-09-29	
002486.SZ	2010-10-15	
002487.SZ	2010-10-15	
002488.SZ	2010-10-21	
002489.SZ	2010-10-21	
002491.SZ	2010-10-21	
002492.SZ	2010-11-02	
002493.SZ	2010-11-02	
002494.SZ	2010-11-02	
002495.SZ	2010-11-02	
002497.SZ	2010-11-09	
002498.SZ	2010-11-09	
002500.SZ	2010-11-15	
002506.SZ	2010-11-18	
002507.SZ	2010-11-23	
002508.SZ	2010-11-23	
002510.SZ	2010-11-25	
002511.SZ	2010-11-25	
002515.SZ	2010-12-03	
002516.SZ	2010-12-07	
002517.SZ	2010-12-07	
002518.SZ	2010-12-07	
002519.SZ	2010-12-07	
002520.SZ	2010-12-10	
002521.SZ	2010-12-10	
002522.SZ	2010-12-10	
002523.SZ	2010-12-10	
002524.SZ	2010-12-17	
002526.SZ	2010-12-17	
002527.SZ	2010-12-24	
002530.SZ	2010-12-31	
002531.SZ	2010-12-31	
002532.SZ	2010-12-31	
002533.SZ	2010-12-31	
002534.SZ	2011-01-10	
002536.SZ	2011-01-11	
002537.SZ	2011-01-10	
002539.SZ	2011-01-18	
002540.SZ	2011-01-18	
002541.SZ	2011-01-18	
002543.SZ	2011-01-28	
002544.SZ	2011-01-28	
002545.SZ	2011-02-11	
002546.SZ	2011-02-11	
002548.SZ	2011-02-18	
002549.SZ	2011-02-18	
002550.SZ	2011-02-18	
002551.SZ	2011-02-25	
002553.SZ	2011-02-25	
002554.SZ	2011-02-25	
002555.SZ	2011-03-02	
002556.SZ	2011-03-02	
002557.SZ	2011-03-02	
002558.SZ	2011-03-02	
002559.SZ	2011-03-03	
002560.SZ	2011-03-03	
002561.SZ	2011-03-03	
002562.SZ	2011-03-10	
002563.SZ	2011-03-11	
002565.SZ	2011-03-18	
002566.SZ	2011-03-18	
002567.SZ	2011-03-25	
002568.SZ	2011-03-25	
002572.SZ	2011-04-12	
002573.SZ	2011-04-22	
002574.SZ	2011-04-22	
002576.SZ	2011-04-28	
002577.SZ	2011-04-28	
002578.SZ	2011-04-28	
002579.SZ	2011-05-06	
002580.SZ	2011-05-06	
002582.SZ	2011-05-20	
002583.SZ	2011-05-27	
002584.SZ	2011-06-02	
002585.SZ	2011-06-02	
002587.SZ	2011-06-10	
002588.SZ	2011-06-10	
002589.SZ	2011-06-10	
002590.SZ	2011-06-10	
002591.SZ	2011-06-21	
002593.SZ	2011-06-28	
002594.SZ	2011-06-30	
002595.SZ	2011-06-28	
002596.SZ	2011-07-07	
002597.SZ	2011-07-07	
002599.SZ	2011-07-15	
002600.SZ	2011-07-15	
002601.SZ	2011-07-15	
002603.SZ	2011-07-28	
002605.SZ	2011-08-05	
002606.SZ	2011-08-05	
002607.SZ	2011-08-10	
002609.SZ	2011-08-15	
002611.SZ	2011-08-30	
002612.SZ	2011-08-30	
002613.SZ	2011-08-30	
002614.SZ	2011-09-09	
002615.SZ	2011-09-09	
002616.SZ	2011-09-20	
002617.SZ	2011-09-20	
002622.SZ	2011-10-18	
002623.SZ	2011-10-13	
002624.SZ	2011-10-28	
002625.SZ	2011-11-03	
002626.SZ	2011-10-28	
002627.SZ	2011-11-03	
002628.SZ	2011-11-03	
002631.SZ	2011-11-11	
002632.SZ	2011-11-22	
002633.SZ	2011-11-22	
002635.SZ	2011-11-25	
002636.SZ	2011-11-25	
002637.SZ	2011-11-25	
002639.SZ	2011-12-05	
002641.SZ	2011-12-08	
002643.SZ	2011-12-20	
002644.SZ	2011-12-22	
002645.SZ	2011-12-20	
002646.SZ	2011-12-22	
002648.SZ	2011-12-28	
002649.SZ	2012-01-06	
002651.SZ	2012-01-06	
002652.SZ	2012-01-19	
002653.SZ	2012-01-17	
002654.SZ	2012-02-17	
002655.SZ	2012-02-17	
002657.SZ	2012-02-28	
002658.SZ	2012-03-09	
002659.SZ	2012-03-09	
002660.SZ	2012-03-16	
002661.SZ	2012-03-16	
002662.SZ	2012-03-09	
002663.SZ	2012-03-16	
002664.SZ	2012-03-16	
002666.SZ	2012-03-27	
002669.SZ	2012-04-16	
002670.SZ	2012-04-16	
002671.SZ	2012-04-26	
002672.SZ	2012-04-26	
002673.SZ	2012-05-03	
002674.SZ	2012-05-07	
002675.SZ	2012-05-25	
002676.SZ	2012-05-25	
002677.SZ	2012-05-25	
002678.SZ	2012-05-30	
002679.SZ	2012-06-05	
002682.SZ	2012-06-12	
002683.SZ	2012-06-12	
002685.SZ	2012-06-12	
002686.SZ	2012-07-03	
002687.SZ	2012-07-13	
002688.SZ	2012-07-13	
002690.SZ	2012-07-31	
002695.SZ	2012-09-05	
002696.SZ	2012-09-05	
002697.SZ	2012-09-05	
002698.SZ	2012-09-11	
002701.SZ	2012-10-11	
002702.SZ	2012-10-11	
002703.SZ	2012-11-02	
002705.SZ	2014-01-21	
002706.SZ	2014-01-21	
002707.SZ	2014-01-23	
